Name	Category	Subcategory	City	State	Status	Owner	Phone	Email	Website	Address	Latitude	Longitude	Capacity	Description
Rail Components Ltd	Elastic Rail Clips	ERC Type A	Mumbai	Maharashtra	Approved	Rajesh Kumar	-9917306689	info@railcomponentsltd.in	https://www.railcomponentsltd.in	153, Industrial Area, Mumbai	19.05235512	72.82230547	229550	Leading manufacturer and supplier of Elastic Rail Clips with state-of-the-art production facilities.
Indian Railway Supplies	Elastic Rail Clips	Heavy Duty	Pune	Maharashtra	Approved	Deepak Agarwal	-1595564326	info@indianrailwaysupplies.in	https://www.indianrailwaysupplies.in	35, Industrial Area, Pune	18.55500441	73.78035859	369560	Advanced manufacturing unit equipped with modern machinery for Heavy Duty production.
Metro Rail Manufacturing	Elastic Rail Clips	ERC Type B	Nagpur	Maharashtra	Approved	Rahul Bose	-2013502649	info@metrorailmanufacturing.in	https://www.metrorailmanufacturing.in	211, Industrial Area, Nagpur	21.05198784	79.13853417	427137	Specialized in producing high-quality ERC Type B for Indian Railways and metro projects.
Precision Rail Parts	Elastic Rail Clips	ERC Type B	Delhi	Delhi	Approved	Rahul Bose	-4768512299	info@precisionrailparts.in	https://www.precisionrailparts.in	486, Industrial Area, Delhi	28.54785309	77.17052205	278021	Trusted supplier of Elastic Rail Clips to major railway projects across India.
National Rail Industries	Elastic Rail Clips	ERC Type B	Bengaluru	Karnataka	Approved	Ravi Verma	-1882605858	info@nationalrailindustries.in	https://www.nationalrailindustries.in	59, Industrial Area, Bengaluru	12.89462269	77.66106314	406077	Leading manufacturer and supplier of Elastic Rail Clips with state-of-the-art production facilities.
Supreme Railway Products	Elastic Rail Clips	Heavy Duty	Mysuru	Karnataka	Developmental	Neha Gupta	-8496500040	info@supremerailwayproducts.in	https://www.supremerailwayproducts.in	355, Industrial Area, Mysuru	12.29037749	76.59974417	391258	Advanced manufacturing unit equipped with modern machinery for Heavy Duty production.
Modern Rail Systems	GFN-66 LINER	Reinforced	Chennai	Tamil Nadu	Approved	Manoj Joshi	-6748782294	info@modernrailsystems.in	https://www.modernrailsystems.in	276, Industrial Area, Chennai	13.1752812	80.18745481	163105	Leading manufacturer and supplier of GFN-66 LINER with state-of-the-art production facilities.
Advanced Track Components	GFN-66 LINER	Insulating	Coimbatore	Tamil Nadu	Approved	Meera Desai	-4312474615	info@advancedtrackcomponents.in	https://www.advancedtrackcomponents.in	431, Industrial Area, Coimbatore	10.92966091	77.02181062	263835	Advanced manufacturing unit equipped with modern machinery for Insulating production.
Eastern Railway Suppliers	GFN-66 LINER	Insulating	Kolkata	West Bengal	Approved	Vikram Reddy	-1700231950	info@easternrailwaysuppliers.in	https://www.easternrailwaysuppliers.in	490, Industrial Area, Kolkata	22.62138361	88.27052307	203387	Trusted supplier of GFN-66 LINER to major railway projects across India.
Western Rail Manufacturing	GFN-66 LINER	Reinforced	Howrah	West Bengal	Approved	Kavita Iyer	-2395902928	info@westernrailmanufacturing.in	https://www.westernrailmanufacturing.in	465, Industrial Area, Howrah	22.62468301	88.26091315	450238	Trusted supplier of GFN-66 LINER to major railway projects across India.
Central Railway Industries	GFN-66 LINER	Reinforced	Ahmedabad	Gujarat	Developmental	Suresh Patel	-7200848306	info@centralrailwayindustries.in	https://www.centralrailwayindustries.in	446, Industrial Area, Ahmedabad	22.93298803	72.49623447	185318	Specialized in producing high-quality Reinforced for Indian Railways and metro projects.
Northern Rail Products	GFN-66 LINER	Insulating	Vadodara	Gujarat	Developmental	Arun Pillai	-7141615166	info@northernrailproducts.in	https://www.northernrailproducts.in	120, Industrial Area, Vadodara	22.31907541	73.26747633	501193	Leading manufacturer and supplier of GFN-66 LINER with state-of-the-art production facilities.
Southern Track Systems	Rail Pads	5mm	Hyderabad	Telangana	Approved	Divya Menon	-9136575670	info@southerntracksystems.in	https://www.southerntracksystems.in	252, Industrial Area, Hyderabad	17.48395372	78.57040933	380002	Specialized in producing high-quality 5mm for Indian Railways and metro projects.
Elite Railway Components	Rail Pads	Custom	Jaipur	Rajasthan	Approved	Ravi Verma	-2819564709	info@eliterailwaycomponents.in	https://www.eliterailwaycomponents.in	201, Industrial Area, Jaipur	26.94160089	75.73515399	233419	Specialized in producing high-quality Custom for Indian Railways and metro projects.
